IDS,SEXES,VIDEOS,PHOTOS,GIFTS,AUDIOS,FRIENDS,FOLLOWERS
10003,2,56,40,73,274,239,469
10030,2,5,2,9,0,129,205
10036,2,13,117,13,65,354,283
10037,2,0,3,0,311,20,106
10100,1,23,44,39,0,329,1635
10102,1,8,1092,6,184,466,420
10104,2,1,33,0,56,41,162
10131,2,1,0,0,0,4,13
10170,2,168,5,6,732,54,175
10171,2,7,458,28,0,1199,545
10231,2,10,1869,26,12,643,117
10243,1,316,4537,32,824,224,304
10250,2,24,1025,67,0,286,335
10276,2,2,2,4,3,464,82
10305,1,16,54,14,233,203,186
10306,2,19,87,3,205,117,7
10308,2,4,767,3,42,195,172
10313,2,0,0,0,0,105,3
10342,1,214,1073,48,0,347,2532
10376,2,0,2,3,0,2,5474
10379,1,41,95,8,58,78,230
10383,2,316,914,12,101,346,157
10407,1,4,278,8,6,146,152
10408,2,9,1203,4,19,608,278
10410,2,16,65,6,37,645,208
10411,1,0,0,0,0,0,1
10413,1,42,296,63,0,252,2274
10474,1,377,1206,20,0,554,1234
10476,2,8,1,12,0,77,276
10504,2,69,213,19,399,400,183
10535,1,6,162,4,287,172,91
10536,1,38,78,44,67,552,987
10568,2,33,305,5,46,353,172
10600,1,0,0,0,0,0,5
10603,2,22,20,2,541,423,139
10607,1,6,49,3,0,86,43
10629,1,0,1,15,532,0,13
10633,1,139,172,38,987,738,1689
10636,1,140,24328,42,0,104,357
10653,1,95,463,22,0,448,147
10657,2,4,134,1,964,590,249
10658,1,1,1,1,0,18,13
10691,1,77,291,23,124,129,4413
10717,1,5,71,6,122,112,78
10720,1,772,40,73,0,214,3232
10754,2,20,3,4,43,317,56
10757,2,26,1773,19,49,197,306
10783,2,0,0,0,0,0,11
10784,1,86,670,37,0,152,34
10787,2,0,0,0,0,0,1
10822,2,11,98,11,0,485,1010
10823,1,0,0,0,0,37,18
10848,2,55,103,1,415,115,196
10914,1,0,0,0,0,3,0
10946,1,0,281,6,0,200,213
10978,1,7,85,5,21,229,189
11016,2,25,17,0,47,106,49
11037,1,35,208,11,0,144,170
11039,1,23,187,5,367,118,557
11042,1,80,327,65,1005,426,2997
11074,2,513,5239,46,1196,869,762
11103,1,1,78,7,24,91,653
11104,2,0,0,0,0,0,10
11138,2,0,1,0,0,25,15
11168,2,0,0,0,0,7,0
11171,2,8,55,4,45,255,47
11172,1,58,4279,38,339,478,2329
11196,1,820,468,39,0,663,1946
11228,2,22,673,2,37,99,66
11231,1,0,0,0,0,0,13
11261,1,18,29,3,110,160,158
11262,2,39,72,9,108,131,261
11288,1,29,182,38,410,474,3823
11320,2,0,0,0,0,0,5
11324,1,37,404,13,262,293,211
11326,1,9,17,1,93,212,107
11386,2,0,0,0,0,0,10
11388,1,10,312,13,26,453,480
11389,2,0,0,0,0,0,11
11391,1,0,0,0,0,0,4
11414,1,738,973,27,1320,838,3684
11415,1,52,11,30,20,133,227
11420,1,155,762,32,471,248,2109
11422,2,3,266,34,0,1132,208
11446,2,99,4,14,0,1315,431
11450,1,100,553,66,585,265,1072
11451,2,0,3,0,0,140,130
11453,2,257,136,2,301,295,169
11478,2,38,1753,7,38,243,94
11479,2,0,0,0,0,3,25
11480,2,36,202,6,0,196,133
11486,2,41,23,28,342,298,659
11513,1,23,244,23,0,241,383
11516,1,0,0,0,4,7,38
11519,1,0,0,1,0,147,145
11641,2,129,260,30,288,2669,1179
11647,1,10,192,14,72,509,11539
11674,2,201,80,25,326,474,1060
11675,2,30,11,5,157,157,134
11678,2,0,0,0,0,0,17
11739,2,42,494,6,13,244,179
11741,1,1,0,0,0,26,167
11773,2,0,8,0,5,30,4
11775,2,1,160,16,39,255,129
11808,1,27,429,5,361,566,249
11810,1,0,3,5,0,115,976
11843,1,30,271,7,83,488,590
11844,1,106,5,16,519,192,1168
11870,2,218,3483,32,311,1067,4982
11873,1,11,46,1,8,520,507
11908,1,0,0,0,0,44,71
11939,1,958,97,28,1254,342,1834
11943,2,0,1,2,0,78,0
11969,1,223,77,47,0,504,3717
11971,2,0,0,0,0,3,2
11974,1,2,5,8,11,391,923
11975,1,110,38,21,0,219,721
12006,2,7,193,34,8,193,182
12067,1,66,210,23,0,186,71
12071,2,493,148,9,330,139,119
12102,1,0,0,0,0,0,27
12104,1,69,3247,10,99,298,816
12128,2,19,5,4,890,7,191
12135,2,0,0,0,0,0,0
12165,2,114,32,12,205,454,234
12195,1,16,14,7,0,317,2686
12196,1,0,0,0,0,0,6
12200,2,904,3357,35,865,233,479
12232,2,0,0,0,0,0,5
12235,2,13,113,1,406,113,50
12265,2,104,260,35,108,2604,110
12297,1,0,3,1,0,131,277
12299,1,81,139,49,437,497,1043
12326,1,13,2,11,0,137,293
12327,2,52,27,3,0,153,180
12365,2,42,1589,0,67,244,46
12393,2,11,0,0,44,174,65
12395,1,291,10653,49,909,164,5744
12396,1,37,184,16,0,138,355
12423,2,70,763,22,513,737,572
12424,2,36,844,17,0,97,175
12426,1,58,15,4,402,339,478
12430,1,310,350,95,0,655,1162
12460,2,0,2,240,56,44,44
12521,2,1,3,2,1,210,87
12523,2,1,25,4,18,297,110
12584,1,0,0,0,0,0,8
12586,2,0,0,1,0,0,7
12589,2,0,0,0,0,0,6
12592,1,10,0,2,0,227,77
12646,2,0,0,0,0,0,9
12648,2,0,0,0,0,0,4
12649,1,0,0,0,0,0,13
12713,1,19,2,7,0,123,229
12715,2,25,13,0,72,106,42
12773,1,57,78,38,176,555,532
12779,2,0,0,0,0,6,3
12780,2,682,937,8,595,331,627
12803,2,5,1017,16,13,387,224
12807,1,83,19,31,1884,402,1210
12837,1,11,284,27,190,643,1147
12842,1,141,61,23,176,168,633
12873,2,2,117,10,0,160,35
12902,2,6,13,7,142,118,2516
12937,1,84,1149,19,591,833,1502
12940,1,19,511,29,207,470,521
12969,2,24,135,5,230,223,155
12974,2,34,182,74,1587,447,713
12999,1,1258,3499,34,0,244,2725
13002,1,1,8,17,1,303,803
13004,1,252,8,34,814,106,795
13028,1,0,49,8,0,222,857
13035,2,9,0,4,0,160,45
13066,2,3,20,2,0,178,22
13092,2,0,0,0,0,0,10
13093,1,39,427,9,0,324,299
13128,1,3,15,8,0,82,130
13129,1,13,16,26,276,398,67
13131,2,13,489,8,34,153,41
13161,1,195,671,12,443,656,1500
13225,2,0,8,2,28,220,60
13242,2,29,496,2,5,268,89
13249,1,0,2,1,114,163,114
13275,1,118,642,26,102,255,805
13279,1,819,2511,21,6237,2222,2836
13304,2,0,0,0,0,110,13
13338,2,37,20,9,27,238,141
13366,1,49,8,10,0,492,254
13398,2,0,0,3,0,347,84
13399,1,64,643,29,84,180,2817
13401,1,374,1353,59,0,1632,6693
13418,2,0,0,0,0,2,4
13420,2,15,31,17,0,601,263
13447,2,3,21,0,11,17,7295
13449,1,0,0,0,0,1,4
13479,2,13,33,1,42,161,31
13485,2,94,188,17,843,2239,781
13540,1,7,16,5,71,208,116
